entity,n-revs
Tests/FluentAssertions.Specs/Primitives/StringAssertionSpecs.Be.cs,3
Src/FluentAssertions/Execution/MessageBuilder.cs,3
Src/FluentAssertions/Equivalency/Steps/AssertionResultSet.cs,3
Tests/FluentAssertions.Specs/OccurrenceConstraintSpecs.cs,3
Src/FluentAssertions/Primitives/NullableBooleanAssertions.cs,3
Src/FluentAssertions/Equivalency/Steps/DictionaryEquivalencyStep.cs,3
Tests/FluentAssertions.Specs/Exceptions/ExceptionAssertionSpecs.cs,3
Src/FluentAssertions/Equivalency/IMemberMatchingRule.cs,3
Src/FluentAssertions/Execution/IAssertionScope.cs,3
Src/FluentAssertions/Common/MethodInfoExtensions.cs,3
Src/FluentAssertions/DataRowAssertionExtensions.cs,3
Src/FluentAssertions/Equivalency/EquivalencyValidationContext.cs,3
Src/FluentAssertions/Xml/XmlElementAssertions.cs,3
Src/FluentAssertions/Formatting/Int16ValueFormatter.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.HaveCountGreaterThan.cs,2
Tests/FluentAssertions.Specs/Primitives/StringAssertionSpecs.ContainAny.cs,2
Tests/FluentAssertions.Specs/Types/MethodInfoSelectorAssertionSpecs.cs,2
Src/FluentAssertions/Numeric/NullableDecimalAssertions.cs,2
Src/FluentAssertions/Specialized/TaskCompletionSourceAssertionsBase.cs,2
Src/FluentAssertions/Primitives/HttpResponseMessageAssertions.cs,2
Tests/FluentAssertions.Specs/CultureAwareTesting/CulturedFactAttributeDiscoverer.cs,2
Src/FluentAssertions/Equivalency/Steps/EqualityComparerEquivalencyStep.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.NotContainItemsAssignableTo.cs,2
Src/FluentAssertions/Equivalency/Steps/ReferenceEqualityEquivalencyStep.cs,2
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.HaveConstructor.cs,2
Src/FluentAssertions/Equivalency/Steps/XElementEquivalencyStep.cs,2
Src/FluentAssertions/Formatting/DoubleValueFormatter.cs,2
Src/FluentAssertions/Equivalency/Steps/XAttributeEquivalencyStep.cs,2
Tests/FluentAssertions.Specs/Exceptions/MiscellaneousExceptionSpecs.cs,2
Src/FluentAssertions/Xml/Equivalency/Node.cs,2
Src/FluentAssertions/Formatting/UInt64ValueFormatter.cs,2
Tests/FluentAssertions.Specs/Xml/XmlNodeFormatterSpecs.cs,2
Tests/Benchmarks/Issue1657.cs,2
Tests/FluentAssertions.Specs/Collections/GenericDictionaryAssertionSpecs.HaveCountLessThan.cs,2
Src/FluentAssertions/Equivalency/IAssertionContext.cs,2
Src/FluentAssertions/Formatting/Int64ValueFormatter.cs,2
Src/FluentAssertions/Primitives/NullableGuidAssertions.cs,2
Tests/FluentAssertions.Specs/Primitives/StringAssertionSpecs.EndWithEquivalentOf.cs,2
Tests/FluentAssertions.Specs/CultureAwareTesting/CulturedXunitTheoryTestCase.cs,2
Src/FluentAssertions/Common/EnumerableExtensions.cs,2
Src/FluentAssertions/Formatting/NullValueFormatter.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.BeSubsetOf.cs,2
Src/FluentAssertions/Execution/GivenSelectorExtensions.cs,2
Tests/FluentAssertions.Specs/FindAssembly.cs,2
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.HaveDefaultConstructor.cs,2
Src/FluentAssertions/Formatting/Int32ValueFormatter.cs,2
Src/FluentAssertions/AndWhichConstraint.cs,2
Src/FluentAssertions/Formatting/ByteValueFormatter.cs,2
Src/FluentAssertions/Primitives/NullableEnumAssertions.cs,2
Tests/UWP.Specs/App.xaml.cs,2
Src/FluentAssertions/Formatting/SingleValueFormatter.cs,2
Src/FluentAssertions/Primitives/NullableDateTimeOffsetAssertions.cs,2
Src/FluentAssertions/Common/NullConfigurationStore.cs,2
Tests/FluentAssertions.Specs/Primitives/StringAssertionSpecs.ContainAll.cs,2
Tests/TestFrameworks/NSpec3.Net47.Specs/FrameworkSpecs.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.HaveSameCount.cs,2
Tests/FluentAssertions.Specs/CultureAwareTesting/CulturedTheoryAttribute.cs,2
Src/FluentAssertions/Numeric/DecimalAssertions.cs,2
Src/FluentAssertions/Equivalency/IMember.cs,2
Tests/FluentAssertions.Specs/Primitives/DateTimeOffsetAssertionSpecs.BeLessThan.cs,2
Tests/FluentAssertions.Specs/Xml/XmlNodeAssertionSpecs.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.ContainSingle.cs,2
Src/FluentAssertions/Primitives/NullableSimpleTimeSpanAssertions.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.ContainEquivalentOf.cs,2
Src/FluentAssertions/DoesNotReturnAttribute.cs,2
Tests/FluentAssertions.Specs/ExtensibilitySpecs.cs,2
Src/FluentAssertions/Disposable.cs,2
Tests/FluentAssertions.Specs/Xml/XDocumentFormatterSpecs.cs,2
Src/FluentAssertions/Equivalency/Steps/EnumerableEquivalencyStep.cs,2
Tests/Benchmarks/BeEquivalentToWithDeeplyNestedStructures.cs,2
Src/FluentAssertions/Specialized/MemberExecutionTime.cs,2
Src/FluentAssertions/Equivalency/Steps/XDocumentEquivalencyStep.cs,2
Tests/FluentAssertions.Equivalency.Specs/NestedPropertiesSpecs.cs,2
Src/FluentAssertions/Formatting/EnumerableExtensions.cs,2
Tests/FluentAssertions.Specs/Primitives/NullableGuidAssertionSpecs.cs,2
Src/FluentAssertions/Formatting/GuidValueFormatter.cs,2
Tests/FluentAssertions.Specs/Xml/XAttributeFormatterSpecs.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.StartWith.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.OnlyContain.cs,2
Src/FluentAssertions/CallerIdentification/ShouldCallParsingStrategy.cs,2
Src/FluentAssertions/Equivalency/Steps/StringEqualityEquivalencyStep.cs,2
Src/FluentAssertions/Common/ExceptionExtensions.cs,2
Src/FluentAssertions/Common/DictionaryHelpers.cs,2
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.BeDecoratedWithOrInherit.cs,2
Tests/FluentAssertions.Specs/Types/MethodInfoAssertionSpecs.cs,2
Src/FluentAssertions/Common/PropertyInfoExtensions.cs,2
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.HaveCountLessThan.cs,2
Src/FluentAssertions/Xml/Equivalency/XmlIterator.cs,2
Src/FluentAssertions/Equivalency/Steps/AssertionRuleEquivalencyStep.cs,2
Src/FluentAssertions/Equivalency/Selection/ExcludeNonBrowsableMembersRule.cs,2
Src/FluentAssertions/Execution/AssertionFailedException.cs,2
Src/FluentAssertions/Equivalency/NestedExclusionOptionBuilder.cs,2
Src/FluentAssertions/Equivalency/MemberVisibility.cs,2
Src/FluentAssertions/Execution/ContextDataItems.cs,2
